[name_16_16]
ConfigVer=20260320_2552009064
1A0001=上证指数|000001@s
1A0002=Ａ股指数|000002@s
1A0003=Ｂ股指数|000003@s
1B0001=工业指数|000004@s
1B0002=商业指数|000005@s
1B0004=地产指数|000006@s
1B0005=公用指数|000007@s
1B0006=综合指数|000008@s
1B0007=上证180|000010@s
1B0008=基金指数|000011@s
1B0009=上证380|000009@s
1B0012=国债指数|000012@s
1B0015=红利指数|000015@s
1B0016=上证50|000016@s
1B0017=新综指|000017@s
1B0018=180金融|000018@s
1B0019=治理指数|000019@s
1B0020=中型综指|000020@s
1B0021=180治理|000021@s
1B0022=沪公司债|000022@s
1B0025=180基建|000025@s
1B0026=180资源|000026@s
1B0027=180运输|000027@s
1B0028=180成长|000028@s
1B0029=180价值|000029@s
1B0030=180R成长|000030@s
1B0031=180R价值|000031@s
1B0032=上证能源|000032@s
1B0033=上证材料|000033@s
1B0034=上证工业|000034@s
1B0035=上证可选|000035@s
1B0036=上证消费|000036@s
1B0037=上证医药|000037@s
1B0038=上证金融|000038@s
1B0039=上证信息|000039@s
1B0040=上证电信|000040@s
1B0041=上证公用|000041@s
1B0042=上证央企|000042@s
1B0043=超大盘|000043@s
1B0044=上证中盘|000044@s
1B0045=上证小盘|000045@s
1B0046=上证中小|000046@s
1B0047=上证全指|000047@s
1B0048=责任指数|000048@s
1B0049=上证民企|000049@s
1B0050=50等权|000050@s
1B0051=180等权|000051@s
1B0052=50基本|000052@s
1B0053=180基本|000053@s
1B0054=上证海外|000054@s
1B0055=上证地企|000055@s
1B0056=上证国企|000056@s
1B0057=全指成长|000057@s
1B0058=全指价值|000058@s
1B0059=全R成长|000059@s
1B0060=全R价值|000060@s
1B0061=沪企债30|000061@s
1B0062=上证沪企|000062@s
1B0063=上证周期|000063@s
1B0064=非周期|000064@s
1B0065=上证龙头|000065@s
1B0066=上证商品|000066@s
1B0067=上证新兴|000067@s
1B0068=上证资源|000068@s
1B0069=消费80|000069@s
1B0070=能源等权|000070@s
1B0071=材料等权|000071@s
1B0072=工业等权|000072@s
1B0073=可选等权|000073@s
1B0074=消费等权|000074@s
1B0075=医药等权|000075@s
1B0076=金融等权|000076@s
1B0077=信息等权|000077@s
1B0078=电信等权|000078@s
1B0079=公用等权|000079@s
1B0090=上证流通|000090@s
1B0091=沪财中小|000091@s
1B0092=资源50|000092@s
1B0093=180分层|000093@s
1B0094=上证上游|000094@s
1B0095=上证中游|000095@s
1B0096=上证下游|000096@s
1B0097=高端装备|000097@s
1B0098=上证F200|000098@s
1B0099=上证F300|000099@s
1B0100=上证F500|000100@s
1B0101=5年信用|000101@s
1B0102=沪投资品|000102@s
1B0103=沪消费品|000103@s
1B0104=380能源|000104@s
1B0105=380材料|000105@s
1B0106=380工业|000106@s
1B0107=380可选|000107@s
1B0108=380消费|000108@s
1B0109=380医药|000109@s
1B0110=380金融|000110@s
1B0111=380信息|000111@s
1B0112=380电信|000112@s
1B0113=380公用|000113@s
1B0114=持续产业|000114@s
1B0115=380等权|000115@s
1B0116=信用100|000116@s
1B0117=380成长|000117@s
1B0118=380价值|000118@s
1B0119=380R成长|000119@s
1B0120=380R价值|000120@s
1B0121=医药主题|000121@s
1B0122=农业主题|000122@s
1B0123=180动态|000123@s
1B0125=180稳定|000125@s
1B0126=消费50|000126@s
1B0128=380基本|000128@s
1B0129=180波动|000129@s
1B0130=380波动|000130@s
1B0131=上证高新|000131@s
1B0132=上证100|000132@s
1B0133=上证150|000133@s
1B0134=上证银行|000134@s
1B0135=180高贝|000135@s
1B0136=180低贝|000136@s
1B0137=380高贝|000137@s
1B0138=380低贝|000138@s
1B0139=上证转债|000139@s
1B0141=380动态|000141@s
1B0142=380稳定|000142@s
1B0145=优势资源|000145@s
1B0146=优势制造|000146@s
1B0147=优势消费|000147@s
1B0148=消费领先|000148@s
1B0149=180红利|000149@s
1B0150=380红利|000150@s
1B0151=上国红利|000151@s
1B0152=上央红利|000152@s
1B0153=上民红利|000153@s
1B0155=市值百强|000155@s
1B0158=上证环保|000158@s
1B0159=沪股通|000159@s
1B0160=沪新丝路|000160@s
1B0161=沪中国造|000161@s
1B0162=沪互联+|000162@s
1B0170=50AH优选|000170@s
1B0300=沪深300|000300@s
1B0510=中证A500|000510@s
1B0680=科创综指|000680@s
1B0681=科创价格|000681@s
1B0682=科创信息|000682@s
1B0683=科创生物|000683@s
1B0685=科创芯片|000685@s
1B0687=科创高装|000687@s
1B0688=科创50|000688@s
1B0689=科创材料|000689@s
1B0690=科创成长|000690@s
1B0691=科创ESG|000691@s
1B0692=科创新能|000692@s
1B0693=科创机械|000693@s
1B0695=科长三角|000695@s
1B0697=科大湾区|000697@s
1B0698=科创100|000698@s
1B0699=科创200|000699@s
1B0802=500沪市|000802@s
1B0814=细分医药|000814@s
1B0819=有色金属|000819@s
1B0823=800有色|000823@s
1B0827=中证环保|000827@s
1B0847=腾讯济安|000847@s
1B0849=300非银|000849@s
1B0851=百发100|000851@s
1B0852=中证1000|000852@s
1B0853=CSSW丝路|000853@s
1B0854=500原料|000854@s
1B0855=央视500|000855@s
1B0856=500工业|000856@s
1B0857=500医药|000857@s
1B0858=500信息|000858@s
1B0860=结构调整|000860@s
1B0863=CS精准医|000863@s
1B0865=上海国企|000865@s
1B0867=港中小企|000867@s
1B0869=HK银行|000869@s
1B0888=上证收益|000888@s
1B0891=新兴综指|000891@s
1B0901=小康指数|000901@s
1B0903=中证A100|000903@s
1B0905=中证500|000905@s
1B0906=中证800|000906@s
1B0913=300医药|000913@s
1B0914=300金融|000914@s
1B0928=中证能源|000928@s
1B0932=中证消费|000932@s
1B0933=中证医药|000933@s
1B0934=中证金融|000934@s
1B0935=中证信息|000935@s
1B0974=800金融|000974@s
1B0982=500等权|000982@s
1B0986=全指能源|000986@s
1B0987=全指材料|000987@s
1B0989=全指可选|000989@s
1B0991=全指医药|000991@s
1B0992=全指金融|000992@s
1B0993=全指信息|000993@s
1C0002=领先指标
1C0003=上证指数(旧)|100001@s
[name_16_17]
ConfigVer=20260320_320996130
600000=浦发银行|浦发银行@f
600004=白云机场|白云机场@f
600006=东风股份|东风股份@f
600007=中国国贸|中国国贸@f
600008=首创环保|首创环保@f
600009=上海机场|上海机场@f
600010=包钢股份|包钢股份@f
600011=华能国际|华能国际@f
600012=皖通高速|皖通高速@f
600015=华夏银行|华夏银行@f
600016=民生银行|民生银行@f
600017=日照港|日照港@f
600018=上港集团|上港集团@f
600019=宝钢股份|宝钢股份@f
600020=中原高速|中原高速@f
600021=上海电力|上海电力@f
600022=山东钢铁|山东钢铁@f
600023=浙能电力|浙能电力@f
600025=华能水电|华能水电@f
600026=中远海能|中远海能@f
600027=华电国际|华电国际@f
600028=中国石化|中国石化@f
600029=南方航空|南方航空@f
600030=中信证券|中信证券@f
600031=三一重工|三一重工@f
600032=浙江新能|浙江新能@f
600033=福建高速|福建高速@f
600035=楚天高速|楚天高速@f
600036=招商银行|招商银行@f
600037=歌华有线|歌华有线@f
600038=中直股份|中直股份@f
600039=四川路桥|四川路桥@f
600048=保利发展|保利发展@f
600050=中国联通|中国联通@f
600051=宁波联合|宁波联合@f
600052=东望时代|东望时代@f
600053=九鼎投资|九鼎投资@f
600054=黄山旅游|黄山旅游@f
600055=万东医疗|万东医疗@f
600056=中国医药|中国医药@f
600057=厦门象屿|厦门象屿@f
600058=五矿发展|五矿发展@f
600059=古越龙山|古越龙山@f
600060=海信视像|海信视像@f
600061=国投资本|国投资本@f
600062=华润双鹤|华润双鹤@f
600063=皖维高新|皖维高新@f
600064=南京高科|南京高科@f
600066=宇通客车|宇通客车@f
600067=冠城新材|冠城新材@f
600071=凤凰光学|凤凰光学@f
