[name_32_32]
ConfigVer=20260320_3042307063
399001=深证成指|深证成指@f
399002=深成指R|深成指R@f
399003=成份Ｂ指|成份Ｂ指@f
399004=深证100R|深证100R@f
399005=中小100|中小100@f
399006=创业板指|创业板指@f
399007=深证300|深证300@f
399008=中小300|中小300@f
399009=深证200|深证200@f
399010=深证700|深证700@f
399011=深证1000|深证1000@f
399012=创业300|创业300@f
399013=深市精选|深市精选@f
399015=中小创新|中小创新@f
399016=深证创新|深证创新@f
399017=SME创新|SME创新@f
399018=创业创新|创业创新@f
399019=创业200|创业200@f
399020=创业小盘|创业小盘@f
399030=碳科技30|碳科技30@f
399050=创新引擎|创新引擎@f
399060=碳科技60|碳科技60@f
399088=深创100|深创100@f
399100=新指数|新指数@f
399101=中小综指|中小综指@f
399102=创业板综|创业板综@f
399103=乐富指数|乐富指数@f
399106=深证综指|深证综指@f
399107=深证Ａ指|深证Ａ指@f
399108=深证Ｂ指|深证Ｂ指@f
399231=农林指数|农林指数@f
399232=采矿指数|采矿指数@f
399233=制造指数|制造指数@f
399234=水电指数|水电指数@f
399235=建筑指数|建筑指数@f
399236=批零指数|批零指数@f
399237=运输指数|运输指数@f
399239=IT指数|IT指数@f
399240=金融指数|金融指数@f
399241=地产指数|地产指数@f
399242=商务指数|商务指数@f
399243=科研指数|科研指数@f
399244=公共指数|公共指数@f
399248=文化指数|文化指数@f
399258=绿色低碳|绿色低碳@f
399259=创业低碳|创业低碳@f
399260=先进制造|先进制造@f
399261=创业制造|创业制造@f
399262=数字经济|数字经济@f
399263=创业数字|创业数字@f
399264=创业软件|创业软件@f
399265=创新药械|创新药械@f
399266=创新能源|创新能源@f
399267=专精特新|专精特新@f
399268=深小巨人|深小巨人@f
399269=创质量|创质量@f
399274=深新基建|深新基建@f
399275=创医药|创医药@f
399276=创科技|创科技@f
399277=公共健康|公共健康@f
399278=长江100|长江100@f
399279=云科技50|云科技50@f
399280=生物50|生物50@f
399281=电子50|电子50@f
399282=大数据50|大数据50@f
399283=机器人50|机器人50@f
399284=AI 50|AI 50@f
399285=物联网50|物联网50@f
399286=区块链50|区块链50@f
399289=碳中和债|碳中和债@f
399290=深转交债|深转交债@f
399291=创精选88|创精选88@f
399292=民企发展|民企发展@f
399293=创业大盘|创业大盘@f
399294=中小创Q|中小创Q@f
399295=创价值|创价值@f
399296=创成长|创成长@f
399297=新浪100|新浪100@f
399298=深信中高|深信中高@f
399299=深信中低|深信中低@f
399300=沪深300|沪深300@f
399301=深信用债|深信用债@f
399302=深公司债|深公司债@f
399303=国证2000|国证2000@f
399306=深证ETF|深证ETF@f
399307=深证转债|深证转债@f
399310=国证A50|国证A50@f
399311=国证1000|国证1000@f
399312=国证300|国证300@f
399313=巨潮100|巨潮100@f
399314=巨潮大盘|巨潮大盘@f
399315=巨潮中盘|巨潮中盘@f
399316=巨潮小盘|巨潮小盘@f
399317=国证Ａ指|国证Ａ指@f
399318=国证Ｂ指|国证Ｂ指@f
399319=资源优势|资源优势@f
399320=国证服务|国证服务@f
399321=国证红利|国证红利@f
399322=国证治理|国证治理@f
399324=深证红利|深证红利@f
399326=成长40|成长40@f
399328=深证治理|深证治理@f
399330=深证100|深证100@f
399333=中小100R|中小100R@f
399335=深证央企|深证央企@f
399337=深证民营|深证民营@f
399339=深证科技|深证科技@f
399341=深证责任|深证责任@f
399344=深证300R|深证300R@f
399346=深证成长|深证成长@f
399348=深证价值|深证价值@f
399350=皖江30|皖江30@f
399351=创新示范|创新示范@f
399352=深企综指|深企综指@f
399353=国证物流|国证物流@f
399354=分析师指数|分析师指数@f
399355=长三角|长三角@f
399356=珠三角|珠三角@f
399357=环渤海|环渤海@f
399358=国证环保|国证环保@f
399359=国证基建|国证基建@f
399360=新硬件|新硬件@f
399361=在线消费|在线消费@f
399362=民企100|民企100@f
399363=国证算力|国证算力@f
399364=消费100|消费100@f
399365=国证粮食|国证粮食@f
399366=能源金属|能源金属@f
399367=1000地产|1000地产@f
399368=国证军工|国证军工@f
399369=国证责任|国证责任@f
399370=国证成长|国证成长@f
399371=国证价值|国证价值@f
399372=大盘成长|大盘成长@f
399373=大盘价值|大盘价值@f
399374=中盘成长|中盘成长@f
399375=中盘价值|中盘价值@f
399376=小盘成长|小盘成长@f
399377=小盘价值|小盘价值@f
399378=ESG 300|ESG 300@f
399379=国证基金|国证基金@f
399380=国证ETF|国证ETF@f
399381=1000能源|1000能源@f
399382=1000材料|1000材料@f
399383=1000工业|1000工业@f
399384=1000可选|1000可选@f
399385=1000消费|1000消费@f
399386=1000医药|1000医药@f
399387=1000金融|1000金融@f
399388=1000信息|1000信息@f
399389=国证通信|国证通信@f
399390=1000公用|1000公用@f
399391=投资时钟|投资时钟@f
399392=国证新兴|国证新兴@f
399393=国证地产|国证地产@f
399394=国证医药|国证医药@f
399395=国证有色|国证有色@f
399396=国证食品|国证食品@f
399397=国证文化|国证文化@f
399398=绩效指数|绩效指数@f
399399=中经GDP|中经GDP@f
399400=大中盘|大中盘@f
399401=中小盘|中小盘@f
399402=周期100|周期100@f
399403=防御100|防御100@f
399405=大盘高贝|大盘高贝@f
399406=中盘低波|中盘低波@f
399407=中盘高贝|中盘高贝@f
399408=小盘低波|小盘低波@f
399409=小盘高贝|小盘高贝@f
399410=苏州率先|苏州率先@f
399411=红利100|红利100@f
399412=国证新能|国证新能@f
399413=国证转债|国证转债@f
399415=I100|I100@f
399416=I300|I300@f
399417=新能源车|新能源车@f
399418=数据要素|数据要素@f
399419=国证高铁|国证高铁@f
399420=国证保证|国证保证@f
399422=中关村A|中关村A@f
399423=中关村50|中关村50@f
399428=国证定增|国证定增@f
399429=新丝路|新丝路@f
399431=国证银行|国证银行@f
399432=智能汽车|智能汽车@f
399433=国证交运|国证交运@f
399434=数字传媒|数字传媒@f
399435=国证农牧|国证农牧@f
399436=绿色煤炭|绿色煤炭@f
399437=证券龙头|证券龙头@f
399438=绿色电力|绿色电力@f
399439=国证油气|国证油气@f
399440=国证钢铁|国证钢铁@f
399441=生物医药|生物医药@f
399481=企债指数|企债指数@f
399550=央视50|央视50@f
399551=央视创新|央视创新@f
399552=央视成长|央视成长@f
399553=央视回报|央视回报@f
399554=央视治理|央视治理@f
399555=央视责任|央视责任@f
399556=央视生态|央视生态@f
399557=央视文化|央视文化@f
399602=中小成长|中小成长@f
399604=中小价值|中小价值@f
399606=创业板R|创业板R@f
399608=科技100|科技100@f
399610=TMT50|TMT50@f
399611=中创100R|中创100R@f
399612=中创100|中创100@f
399613=深证能源|深证能源@f
399614=深证材料|深证材料@f
399615=深证工业|深证工业@f
399616=深证可选|深证可选@f
399617=深证消费|深证消费@f
399618=深证医药|深证医药@f
399619=深证金融|深证金融@f
399620=深证信息|深证信息@f
399621=深证电信|深证电信@f
399622=深证公用|深证公用@f
399623=中小基础|中小基础@f
399624=中创400|中创400@f
399625=中创500|中创500@f
399626=中创成长|中创成长@f
399627=中创价值|中创价值@f
399628=700成长|700成长@f
399629=700价值|700价值@f
399630=1000成长|1000成长@f
399631=1000价值|1000价值@f
399632=深100EW|深100EW@f
399633=深300EW|深300EW@f
399634=中小等权|中小等权@f
399635=创业板EW|创业板EW@f
399636=深证装备|深证装备@f
399637=深证地产|深证地产@f
399638=深证环保|深证环保@f
399639=深证大宗|深证大宗@f
399640=创业基础|创业基础@f
399641=深证新兴|深证新兴@f
399642=中小新兴|中小新兴@f
399643=创业新兴|创业新兴@f
399644=深证时钟|深证时钟@f
399645=100低波|100低波@f
399646=深消费50|深消费50@f
399647=深医药50|深医药50@f
399648=深证GDP|深证GDP@f
399649=中小红利|中小红利@f
399650=中小治理|中小治理@f
399651=中小责任|中小责任@f
399652=中创高新|中创高新@f
399653=深证龙头|深证龙头@f
399654=深证文化|深证文化@f
399655=深证绩效|深证绩效@f
399656=100绩效|100绩效@f
399657=300绩效|300绩效@f
399658=中小绩效|中小绩效@f
399659=深成指EW|深成指EW@f
399660=中创EW|中创EW@f
399661=深证低波|深证低波@f
399662=深证高贝|深证高贝@f
399663=中小低波|中小低波@f
399664=中小高贝|中小高贝@f
399665=中创低波|中创低波@f
399666=中创高贝|中创高贝@f
399667=创业成长|创业成长@f
399668=创业板V|创业板V@f
399669=深证农业|深证农业@f
399670=深周期50|深周期50@f
399671=深防御50|深防御50@f
399672=深红利50|深红利50@f
399673=创业板50|创业板50@f
399674=深A医药|深A医药@f
399675=深互联网|深互联网@f
399676=深医药EW|深医药EW@f
399677=深互联EW|深互联EW@f
399678=深次新股|深次新股@f
399679=深证200R|深证200R@f
399680=深成能源|深成能源@f
399681=深成材料|深成材料@f
399682=深成工业|深成工业@f
399683=深成可选|深成可选@f
399684=深成消费|深成消费@f
399685=深成医药|深成医药@f
399686=深成金融|深成金融@f
399687=深成信息|深成信息@f
399688=深成电信|深成电信@f
399689=深成公用|深成公用@f
399692=创业低波|创业低波@f
399693=安防产业|安防产业@f
399694=创业高贝|创业高贝@f
399695=深证节能|深证节能@f
399696=深证创投|深证创投@f
399697=中关村60|中关村60@f
399698=优势成长|优势成长@f
399699=金融科技|金融科技@f
399701=深证F60|深证F60@f
399702=深证F120|深证F120@f
399703=深证F200|深证F200@f
399704=深证上游|深证上游@f
399705=深证中游|深证中游@f
399706=深证下游|深证下游@f
399707=CSSW证券|CSSW证券@f
399750=深主板50|深主板50@f
399802=500深市|500深市@f
399803=工业4.0|工业4.0@f
399804=中证体育|中证体育@f
399805=互联金融|互联金融@f
399806=环境治理|环境治理@f
399807=高铁产业|高铁产业@f
399808=中证新能|中证新能@f
399809=保险主题|保险主题@f
399810=CSSW传媒|CSSW传媒@f
399811=CSSW电子|CSSW电子@f
399812=养老产业|养老产业@f
399813=中证国安|中证国安@f
399814=大农业|大农业@f
399850=深证50|深证50@f
399852=中证1000|中证1000@f
399901=小康指数|小康指数@f
399903=中证100|中证100@f
399905=中证 500|中证 500@f
399913=300 医药|300 医药@f
399914=300 金融|300 金融@f
399928=中证能源|中证能源@f
399932=中证消费|中证消费@f
399933=中证医药|中证医药@f
399934=中证金融|中证金融@f
399935=中证信息|中证信息@f
399959=军工指数|军工指数@f
399965=800地产|800地产@f
399966=800非银|800非银@f
399967=中证军工|中证军工@f
399970=移动互联|移动互联@f
399971=中证传媒|中证传媒@f
399972=300深市|300深市@f
399973=中证国防|中证国防@f
399974=国企改革|国企改革@f
399975=证券公司|证券公司@f
399976=CS新能车|CS新能车@f
